Type,Mass,Parts
N-Terminal,203.0794,['GlcNAc']
C-Terminal,1571.6699,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1294.5538,"['A', 'E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'A', 'MurNAc_alditol']"
C-Terminal,1223.5167,"['E', 'mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'E', 'A', 'MurNAc_alditol']"
C-Terminal,1094.4741,"['mDAP', 'A', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
N-Terminal,1686.7095,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,88.0398,['A']
C-Terminal,939.3920,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
N-Terminal,835.3573,"['A', 'GlcNAc', 'MurNAc_alditol', 'mDAP', 'E']"
C-Terminal,1571.6699,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
C-Terminal,1294.5538,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
N-Terminal,480.1955,"['GlcNAc', 'MurNAc_alditol']"
C-Terminal,1223.5167,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
N-Terminal,551.2326,"['A', 'GlcNAc', 'MurNAc_alditol']"
C-Terminal,1094.4741,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'mDAP']"
N-Terminal,680.2752,"['A', 'GlcNAc', 'E', 'MurNAc_alditol']"
Internal,277.1161,['MurNAc_alditol']
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['E', 'A', 'MurNAc_alditol']"
Internal,1483.6301,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,736.3126,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A']"
Internal,835.3573,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1368.5905,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1091.4744,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,1020.4373,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,891.3947,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'mDAP']"
Internal,200.0797,"['E', 'A']"
Internal,1206.5140,"['A', 'E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,459.1965,"['E', 'A', 'A', 'mDAP']"
Internal,1091.4744,"['A', 'E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,814.3583,"['A', 'E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,743.3212,"['A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,614.2786,"['A', 'E', 'mDAP', 'A', 'mDAP']"
Internal,129.0426,['E']
Internal,1135.4769,"['E', 'mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,388.1594,"['E', 'A', 'mDAP']"
Internal,1020.4373,"['E', 'mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,743.3212,"['E', 'mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,672.2841,"['E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,543.2415,"['E', 'mDAP', 'A', 'mDAP']"
N-Terminal,680.2752,"['GlcNAc', 'MurNAc_alditol', 'A', 'E']"
Internal,1006.4343,"['mDAP', 'GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,259.1168,"['A', 'mDAP']"
Internal,891.3947,"['mDAP', 'A', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,614.2786,"['mDAP', 'A', 'A', 'E', 'mDAP']"
Internal,543.2415,"['mDAP', 'A', 'E', 'mDAP']"
Internal,414.1989,"['mDAP', 'A', 'mDAP']"
Internal,851.3522,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1483.6301,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1206.5140,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,1135.4769,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,1006.4343,"['GlcNAc', 'MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP']"
Internal,459.1965,"['A', 'E', 'mDAP', 'A']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
Internal,388.1594,"['E', 'mDAP', 'A']"
N-Terminal,680.2752,"['GlcNAc', 'MurNAc_alditol', 'A', 'E']"
Internal,355.1618,"['A', 'mDAP', 'E']"
Internal,284.1247,"['mDAP', 'E']"
Internal,632.2779,"['A', 'MurNAc_alditol', 'mDAP', 'E']"
Internal,680.2752,"['A', 'GlcNAc', 'MurNAc_alditol', 'E']"
Internal,155.0821,['mDAP']
Internal,632.2779,"['mDAP', 'A', 'E', 'MurNAc_alditol']"
Internal,348.1532,"['A', 'MurNAc_alditol']"
Internal,477.1958,"['A', 'E', 'MurNAc_alditol']"
Internal,355.1618,"['mDAP', 'A', 'E']"
Internal,200.0797,"['A', 'E']"
Internal,648.2728,"['mDAP', 'E', 'A', 'MurNAc_alditol']"
Internal,1280.5507,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,1003.4346,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,932.3975,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,803.3549,"['MurNAc_alditol', 'A', 'E', 'mDAP', 'mDAP']"
Internal,477.1958,"['MurNAc_alditol', 'A', 'E']"
Internal,648.2728,"['MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,632.2779,"['MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,355.1618,"['A', 'E', 'mDAP']"
N-Terminal,551.2326,"['GlcNAc', 'MurNAc_alditol', 'A']"
Internal,414.1989,"['mDAP', 'A', 'mDAP']"
Internal,371.1567,"['E', 'A', 'mDAP']"
Internal,1003.4346,"['A', 'E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,726.3185,"['A', 'E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,655.2814,"['A', 'E', 'mDAP', 'E', 'mDAP']"
Internal,526.2388,"['A', 'E', 'mDAP', 'mDAP']"
Internal,300.1196,"['E', 'mDAP']"
Internal,932.3975,"['E', 'mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,655.2814,"['E', 'mDAP', 'A', 'E', 'mDAP']"
Internal,584.2443,"['E', 'mDAP', 'E', 'mDAP']"
Internal,455.2017,"['mDAP', 'E', 'mDAP']"
Internal,455.2017,"['E', 'mDAP', 'mDAP']"
Internal,477.1958,"['MurNAc_alditol', 'A', 'E']"
Internal,803.3549,"['mDAP', 'MurNAc_alditol', 'A', 'E', 'mDAP']"
Internal,526.2388,"['mDAP', 'A', 'E', 'mDAP']"
Internal,455.2017,"['mDAP', 'E', 'mDAP']"
Internal,326.1591,"['mDAP', 'mDAP']"
Internal,259.1168,"['mDAP', 'A']"
Internal,284.1247,"['E', 'mDAP']"
Internal,371.1567,"['A', 'E', 'mDAP']"
Internal,455.2017,"['mDAP', 'E', 'mDAP']"
Internal,200.0797,"['A', 'E']"
Internal,348.1532,"['MurNAc_alditol', 'A']"
Internal,477.1958,"['A', 'MurNAc_alditol', 'E']"
